102,151208007937 331074356935 131099399069 271291202535 190994255639 291000174762 271368438046 221333714365 190855622921 281247688095
103,370988568481 390724883532 370993811713 331106676869 350922309978 350983052667 111261224550 400627588059 181276347263 390670256458
104,181305765247 251432252590 231142479941 370994156812 111260876482 261383378967 111058103950 261309225220 141159182137 291064248963
105,350961101550 370979650510 251312042661 271371178555 331088742044 121253857237 390740721483 281253178719 281240605702 301078307420
106,111264129033 181306886825 321281637611 261378775892 231144691993 141174936996 231136266967 301080604695 350981883982 150933404361
107,221358371945 161207665120 181299449990 271374879205 281250979342 111261715517 261380490451 200962297416 261383218014 281251591063
108,400652584210 121050157104 331114468311 291005382932 231141905384 380825116637 121232917371 221358283849 251432742743 251268688078
109,181261820244 291065907270 190969721324 261378775892 190444621680 230609589952 300863944289 121205745208 350983465179 190979826209
110,151215670348 251432160245 301072043573 291033331443 111265450767 251315717884 201024236281 231137445053 171227546098 321305592761
111,181284479412 201024225500 380817489141 191050619257 291022053348 151209382839 191019095625 191018898573 231093853032 251383677740
112,230796579754 111263350619 160803351607 141100753877 251383677740 271369161416 370694799210 291065907270 141131534968 161021882053
113,200962297416 231081084649 261382076626 181298529400 121252627426 261383218014 121181355380 271368438046 111241431082 281253178719
114,390754987934 400542967974 251312042661 301052172492 200949129499 271371178555 111241431082 171206380061 281240605702 400651568935
115,291059443800 301032497619 321248824497 301072043573 400651568935 281247466109 400648343418 221361420915 181144309508 281250979342
116,331111150971 121256316064 331112467597 121019418102 231141415190 331107344252 221359130191 181211705825 271369041510 271379483207
117,331096390919 331096398971 350981883982 111238226984 111236544376 221211726823 281250649549 321304471990 171174146388 261351448995
118,271211038085 310767399304 301052172492 331032091645 390728732491 251430957321 271309821903 271371178555 111241431082 370947900285
119,321156574755 321169482767 231140363971 181163999579 330977141419 370992975004 300871841081 111264705165 161136252147 370895229988
120,331032091645 370947900285 121250673938 131099399069 301052172492 111241431082 390745056898 271309821903 271375374343 251430957321
121,291065658754 380824359194 231074998506 131101374685 151217524710 151218641778 360693922441 330779417595 190989756280 291063297027
122,261383378967 161205202661 201008112664 251432252590 181305765247 231142479941 370994156812 291025048222 171227438961 261363818219
123,370931644953 331111187631 141164959225 111252341917 331106851585 131062524833 350944814454 380792000643 231078636897 321248824497
124,350970356921 331106464046 321306320650 350972901302 331106676869 350971861994 300985470754 221098529264 121261385494 360808832121
125,161022073131 291063297027 171225640220 290992404327 261382276498 151187142861 281244534658 280931235927 121198011698 221358283849
126,231132594809 181153941053 321304540554 201024395079 231140363971 261272664280 400651248944 291064602544 301079231407 181302433696
127,111251436649 261383402385 111262538810 231074088020 191049442830 131074420270 161204961449 151217597264 121258615889 221359493423
128,350944814454 370981388260 271366920150 370946668131 350932583521 141164959225 321307360706 400610548675 370931644953 131052708075
129,271368438046 380803675580 151216592979 111264608888 271372951659 161187953160 271378586589 131099956578 131082270139 390722079466
130,301052172492 271371178555 370940553668 141058360536 261371625397 390728732491 400542967974 171206380061 171217118592 400651568935
131,191019095625 191018898573 151209382839 201024225500 191019231439 400626147289 221360659865 390733026876 151213084112 331115447910
132,161200888065 271349367030 370927066397 171225727590 231138280372 121252605530 151165680710 291065871378 331111187631 111252341917
133,281249299254 190855622921 121262199294 141122970121 131098732214 400605289693 231034137896 231097206301 151212233446 261261721687
134,261273210757 261359294812 331106571096 171174146388 321307386974 190979396751 271375374343 291065871378 380792018012 161200888065
135,310791979398 171225191907 350831789229 171227546098 271379483207 331114392119 171023103109 380824803869 370992975004 171227489642
136,321302250545 190994255639 231134549404 251421272255 201026548114 151215827271 301078307420 291054351651 261377024704 221333714365
137,251431733694 261381041128 281253056000 221359493423 261383063836 300975824717 231144691993 121050157104 121258615889 251430972499
138,171217815264 400651248944 310767399304 271280305739 350971861994 271309821903 261261721687 181276347263 301071240311 200990122869
139,251312042661 370940553668 390754987934 200949129499 360757578698 301052172492 231085685248 111241431082 350945434426 261367297769
140,231143488824 171225091297 261363818219 331114674000 251430972499 281248228371 350831789229 141170252239 390753422621 111261719358
141,271218548768 181309056424 221359479083 271381757776 251350262330 231143850327 331112359052 231144691993 141173972316 111257701489
142,261368007328 261371625397 261378485741 111241244077 271372599926 290944402889 221330320591 221359517009 171224294318 221359204419
143,370694799210 251383677740 160803351607 281242396272 261378896299 221073720802 291025048222 151213084112 121223657751 231141351150
144,301071240311 271360760202 271381350426 281220002768 321304798780 221330320591 350973607368 191046325372 121261945805 291045106638
145,281220002768 271372951659 290951732565 271381350426 131089380986 161187953160 111264608888 111261715517 201024962093 291045106638
146,290689389133 161021882053 291057988718 111008906044 370724798745 191049354566 301079192182 291055079364 291055021515 251430503839
147,121203685985 301078307420 281250979342 350981486603 111162446743 190976966754 141143763489 301075364020 350961101550 321302250545
148,111251436649 121181355380 390754487565 321304540554 181270693250 400651248944 261383218014 131074420270 161204961449 281251591063
149,251383677740 160803351607 200592318879 400639246241 390737805441 291025048222 190855622921 281251225082 261381736567 291030263212
150,300985470754 151216592979 221330803006 271367422666 281251591063 271375005426 400651248944 181151029038 290951732565 310839321814
151,380825074955 360844334630 251409552814 360844393080 161205946263 221361926063 321306551889 251383677740 370993505263 360844318881
152,400645118936 251430957321 271372951659 390754487565 310839321814 111262533682 321248824497 231140156460 151210115031 370866597643
153,161204147533 121205075696 271369161416 111221678527 230609589952 331065099149 251383677740 331113986263 331113995745 121261069573
154,261377832886 350845524155 390753568487 141135506426 201026548114 111264748499 271383146884 380799940025 141173404299 221360846496
155,231122155981 291030263212 261360102172 360844393080 370991792234 370993505263 171226664912 380825074955 370935993851 261380080709
156,141162925761 261381043212 221359204419 221359182689 121050157104 201024128760 291005382932 231141905384 380825116637 221358283849
157,121241371713 271349529365 301079058467 301050697962 271367422666 350977730923 251434531381 221359742259 201024962093 380803675580
158,360826556319 181185253117 271331653100 111221678527 331096390919 370993505263 171225091297 131094790386 380825074955 370993055013
